,Random Query,MSSIM,EarthMovers,OneDividedByEpsilon,KSTest,Scagnostics
17_DAWA_distribution_0.01_64,51.4396,0.622340322,1.092529297,100,0.549072266,0.25559956
17_AHP_distribution_0.01_64,64.72698132,0.727699518,1.621620384,100,0.299316406,0.216996646
17_AGrid_distribution_0.01_64,174.0313402,0.470634669,5.319175028,100,0.546875,0.244347431
17_Geometric_distribution_0.01_64,3066.8098,0.573328257,48.87231445,100,0.533691406,0.224850563
17_Laplace_distribution_0.01_64,880.7834775,0.444269598,99.07418897,100,0.521484375,0.206322682
19_DAWA_distribution_0.5_32,30.5328,0.86639607,0.69921875,2,0.94921875,0.072913353
19_AHP_distribution_0.5_32,38.39700496,0.928379118,0.89367246,2,0.391601563,0.131484162
19_AGrid_distribution_0.5_32,16.11965827,0.840919852,1.005397812,2,0.693359375,0.085409098
19_Geometric_distribution_0.5_32,38.1802,0.919979274,0.61328125,2,0.77734375,0.463683124
19_Laplace_distribution_0.5_32,15.29797376,0.812421381,1.166453833,2,0.6875,0.431301785
19_DAWA_distribution_0.5_64,23.4544,0.731161773,0.529785156,2,0.903564453,0.12893675
19_AHP_distribution_0.5_64,57.20028869,0.757428706,1.187763078,2,0.252929688,0.169028423
19_AGrid_distribution_0.5_64,12.67355324,0.741354465,0.755188031,2,0.482666016,0.093723465
19_Geometric_distribution_0.5_64,44.5158,0.794447005,0.738769531,2,0.74609375,0.516934063
19_Laplace_distribution_0.5_64,15.52417112,0.655767918,1.580576898,2,0.593505859,0.487016063
19_DAWA_distribution_0.1_32,88.983,0.541230679,2.434570313,10,0.678710938,0.272334046
19_AHP_distribution_0.1_32,215.2154909,0.59306407,5.518808309,10,0.352539063,0.542963517
19_AGrid_distribution_0.1_32,42.85592871,0.555160642,2.600611169,10,0.6171875,0.36979107
19_Geometric_distribution_0.1_32,256.897,0.6725927,4.3359375,10,0.80078125,0.513745341
19_Laplace_distribution_0.1_32,74.0026525,0.566078067,7.021515346,10,0.61328125,0.503076292
19_DAWA_distribution_0.1_64,34.012,0.585152745,0.775634766,10,0.865234375,0.173837762
